OID_TRACT_20,GEOID_TRACT_20,NAMELSAD_TRACT_20,AREALAND_TRACT_20,AREAWATER_TRACT_20,MTFCC_TRACT_20,FUNCSTAT_TRACT_20,OID_TRACT_10,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_TRACT_10,AREAWATER_TRACT_10,MTFCC_TRACT_10,FUNCSTAT_TRACT_10,AREALAND_PART,AREAWATER_PART
2.07907E+13,36001014002,Census Tract 140.02,2379978,0,G5020,S,2.07407E+13,36001014002,Census Tract 140.02,2379978,0,G5020,S,2379978,0\
2.07907E+13,36001014100,Census Tract 141,16409553,0,G5020,S,2.07407E+13,36001014100,Census Tract 141,16409553,0,G5020,S,16409553,0\
2.07907E+13,36001014201,Census Tract 142.01,12561611,24310,G5020,S,2.07407E+13,36001014201,Census Tract 142.01,12561611,24310,G5020,S,12561611,24310\
2.07907E+13,36001014202,Census Tract 142.02,7780546,23783,G5020,S,2.07407E+13,36001014202,Census Tract 142.02,7780546,23783,G5020,S,7780546,23783\
2.07907E+13,36001014203,Census Tract 142.03,11051051,4325,G5020,S,2.07407E+13,36001014203,Census Tract 142.03,11051051,4325,G5020,S,11051051,4325\
2.07907E+13,36001014301,Census Tract 143.01,32184781,2013957,G5020,S,2.07407E+13,36001014301,Census Tract 143.01,32185479,2013957,G5020,S,32184781,2013957\
2.07902E+15,36001014303,Census Tract 143.03,7490920,29569,G5020,S,2.07407E+13,36001014302,Census Tract 143.02,47000843,91674,G5020,S,7490920,29569\
2.07902E+15,36001014304,Census Tract 143.04,39510621,62105,G5020,S,2.07407E+13,36001014301,Census Tract 143.01,32185479,2013957,G5020,S,698,0\
2.07902E+15,36001014304,Census Tract 143.04,39510621,62105,G5020,S,2.07407E+13,36001014302,Census Tract 143.02,47000843,91674,G5020,S,39509923,62105\
2.07907E+13,36001014401,Census Tract 144.01,126167574,7717884,G5020,S,2.07407E+13,36001014401,Census Tract 144.01,126482254,7717884,G5020,S,126167574,7717884\
2.07907E+13,36001014402,Census Tract 144.02,3802021,14194,G5020,S,2.07407E+13,36001014401,Census Tract 144.01,126482254,7717884,G5020,S,314680,0\
2.07907E+13,36001014402,Census Tract 144.02,3802021,14194,G5020,S,2.07407E+13,36001014402,Census Tract 144.02,3487341,14194,G5020,S,3487341,14194\
2.07907E+13,36001014501,Census Tract 145.01,55227351,196048,G5020,S,2.07407E+13,36001014501,Census Tract 145.01,55227351,196048,G5020,S,55227351,196048\
2.07907E+13,36001014502,Census Tract 145.02,88157667,1005322,G5020,S,2.07407E+13,36001014502,Census Tract 145.02,88157667,1005322,G5020,S,88157667,1005322\
2.07907E+13,36001014503,Census Tract 145.03,5539441,12385,G5020,S,2.07407E+13,36001014503,Census Tract 145.03,5539441,12385,G5020,S,5539441,12385\
2.07907E+13,36001014606,Census Tract 146.06,17693338,64643,G5020,S,2.07407E+13,36001014606,Census Tract 146.06,17693338,64643,G5020,S,17693338,64643\
2.07907E+13,36001014608,Census Tract 146.08,4013594,10833,G5020,S,2.07407E+13,36001014608,Census Tract 146.08,4013594,10833,G5020,S,4013594,10833\
2.07907E+13,36001014609,Census Tract 146.09,6477266,9640,G5020,S,2.07407E+13,36001014609,Census Tract 146.09,6477266,9640,G5020,S,6477266,9640\
2.07907E+13,36001014611,Census Tract 146.11,15856153,156119,G5020,S,2.07407E+13,36001014611,Census Tract 146.11,15802328,162691,G5020,S,15796119,151464\
2.07907E+13,36001014611,Census Tract 146.11,15856153,156119,G5020,S,2.07407E+13,36001014613,Census Tract 146.13,67912263,1751420,G5020,S,59969,0\
2.07907E+13,36001014611,Census Tract 146.11,15856153,156119,G5020,S,2.07404E+14,36001014615,Census Tract 146.15,5866664,216734,G5020,S,65,4655\
2.07907E+13,36001014612,Census Tract 146.12,3279144,3689,G5020,S,2.07407E+13,36001014612,Census Tract 146.12,3072852,243,G5020,S,3062736,243\
2.07907E+13,36001014612,Census Tract 146.12,3279144,3689,G5020,S,2.07407E+13,36001014613,Census Tract 146.13,67912263,1751420,G5020,S,216408,3446\
