GEOID,year,total_crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,total_population,crash_rate_per_1000,injury_rate_per_1000,fatality_rate_per_1000
36047118800,2022,37,11,0,5,0,1,0,4,0,59281.15,0.624144437144016,0.185556454286059,0
36047118800,2023,32,10,0,1,0,0,0,8,0,61308.31,0.521952081210524,0.163110025378289,0
36047119000,2018,110,23,0,6,0,1,0,16,0,28963.64,3.79786518545321,0.794099084231126,0
36047119000,2019,113,34,1,4,1,2,0,28,0,25948.22,4.35482665092249,1.31030182417137,0.0385382889462167
36047119000,2020,79,36,0,7,0,8,0,21,0,26539.83,2.97665810218076,1.35645179339883,0
36047119000,2021,63,28,0,5,0,4,0,18,0,27690.1,2.27518138251577,1.01119172556257,0
36047119000,2022,58,32,0,7,0,1,0,24,0,22221.46,2.61008952607074,1.4400493936942,0
36047119000,2023,59,27,0,6,0,3,0,17,0,22057.49,2.67482836895766,1.22407399935351,0
36047119200,2018,168,81,1,15,0,4,0,62,1,35798.92,4.69287900305372,2.26263809075805,0.0279338035896055
36047119200,2019,126,47,0,3,0,2,0,42,0,38616.76,3.2628319931553,1.21708812443095,0
36047119200,2020,84,31,0,3,0,7,0,21,0,37589.77,2.23465054454975,0.824692462869552,0
36047119200,2021,94,35,0,2,0,6,0,27,0,40950.06,2.2954789321432,0.854699602393745,0
36047119200,2022,84,42,0,3,0,2,0,36,0,46777.48,1.79573589684609,0.897867948423045,0
36047119200,2023,75,43,0,5,0,4,0,33,0,42720.02,1.75561715560995,1.00655383588304,0
36047119400,2018,91,41,0,6,0,4,0,31,0,50498.44,1.80203586487028,0.811906268787709,0
36047119400,2019,105,75,0,4,0,2,0,69,0,54122.66,1.94003768477011,1.38574120340722,0
36047119400,2020,73,35,0,5,0,0,0,30,0,58932.85,1.23869794181004,0.593896273470569,0
36047119400,2021,63,33,0,7,0,0,0,26,0,64188.28,0.981487586207326,0.514112545156219,0
36047119400,2022,58,45,0,5,0,2,0,38,0,64078.68,0.905137246897096,0.702261657075333,0
36047119400,2023,42,41,0,3,0,4,0,34,0,62229.64,0.67491953994913,0.658850027093199,0
36047119600,2018,135,45,0,13,0,6,0,26,0,59343.77,2.27488074990854,0.758293583302847,0
36047119600,2019,111,40,0,3,0,7,0,30,0,62067.75,1.78836835554696,0.644457065061969,0
36047119600,2020,74,31,0,5,0,4,0,22,0,60429.48,1.22456787647354,0.51299465095513,0
36047119600,2021,95,43,0,6,0,4,0,29,0,63437.65,1.49753340484712,0.677830909562381,0
36047119600,2022,68,32,0,6,0,3,0,23,0,70545.69,0.963914308584975,0.453606733451753,0
36047119600,2023,59,30,0,9,0,2,0,17,0,79147.07,0.745447683660305,0.379041195081511,0
36047119800,2018,474,102,0,8,0,3,0,91,0,34882.74,13.5883821053048,2.92408222519217,0
36047119800,2019,442,111,2,17,1,7,0,87,1,42355.08,10.4355841141133,2.62070098793344,0.0472198376204224
36047119800,2020,234,85,0,8,0,5,0,72,0,37208.72,6.28884842047778,2.28441075102825,0
36047119800,2021,274,147,1,9,0,5,0,128,1,42646.02,6.42498408995728,3.44698051541504,0.0234488470436397
36047119800,2022,230,122,0,12,0,3,0,104,0,44112.06,5.21399363348708,2.76568357950184,0
36047119800,2023,203,125,1,15,1,3,0,104,0,47814.18,4.24560245517125,2.61428722609067,0.0209142978087254
36047120000,2018,67,17,1,3,0,1,0,13,1,31570.22,2.1222531867057,0.5384821518507,0.0316754206971
36047120000,2019,48,17,0,3,0,2,0,12,0,30336.09,1.58227378676685,0.56038863281326,0
36047120000,2020,44,23,0,4,0,1,0,18,0,30893.95,1.42422707358561,0.744482333919748,0
36047120000,2021,40,19,0,4,0,1,0,12,0,32978.75,1.21290224765948,0.576128567638252,0
36047120000,2022,44,21,0,6,0,2,0,13,0,34143.69,1.28867149391293,0.615047758458444,0
36047120000,2023,47,35,0,6,0,1,0,26,0,33094.62,1.42017040836245,1.05757370835501,0
36047120200,2018,95,38,1,7,1,0,0,31,0,22947.43,4.13989714752371,1.65595885900948,0.0435778647107759
36047120200,2019,108,38,0,7,0,0,0,31,0,22431.3,4.81470088670741,1.69406142310076,0
36047120200,2020,55,27,0,3,0,0,0,24,0,23124.56,2.37842363270912,1.16758978332993,0
36047120200,2021,46,18,0,2,0,0,0,15,0,24048.84,1.91277417122822,0.748476849611042,0
36047120200,2022,43,12,0,5,0,1,0,6,0,23115.74,1.86020434561039,0.519126794123831,0
36047120200,2023,34,30,0,7,0,0,0,23,0,23163.95,1.46779802235802,1.2951159020806,0
36047120801,2018,62,17,0,1,0,1,0,15,0,48991.7932010322,1.26551807862166,0.346996892525294,0
36047120801,2019,49,20,0,5,0,1,0,14,0,52666.9788194007,0.930374232553284,0.379744584715626,0
36047120801,2020,43,12,0,1,0,0,0,11,0,59456.57,0.723216963238882,0.201827989741083,0
36047120801,2021,57,22,0,3,0,1,0,18,0,66128.77,0.861954637898149,0.332684246206303,0
36047120801,2022,37,19,0,1,0,2,0,15,0,60591.69,0.610644793040102,0.313574353182755,0
36047120801,2023,35,23,0,2,0,2,0,18,0,53393.21,0.655514062555894,0.430766383965302,0
36047120802,2018,20,8,0,1,0,0,0,7,0,28421.7726833851,0.703685875712167,0.281474350284867,0
36047120802,2019,21,14,0,0,0,1,0,13,0,30553.8703958713,0.6873106329219,0.4582070886146,0
36047120802,2020,17,1,0,1,0,0,0,0,0,47731.48,0.356159079919583,0.0209505341129167,0
36047120802,2021,13,13,0,1,0,0,0,11,0,52463.69,0.247790424196239,0.247790424196239,0
36047120802,2022,6,2,0,1,0,1,0,0,0,53508.73,0.112131235407755,0.0373770784692517,0
36047120802,2023,8,2,0,0,0,0,0,2,0,53208.7,0.150351352316445,0.0375878380791111,0
36047120803,2018,32,11,0,1,0,0,0,10,0,37616.1541155827,0.850698343633801,0.292427555624119,0
36047120803,2019,28,6,0,1,0,1,0,4,0,40437.980784728,0.69241835167434,0.148375361073073,0
36047120803,2020,30,5,1,0,0,0,0,5,1,27686.24,1.08357075572559,0.180595125954265,0.0361190251908529
36047120803,2021,9,4,0,1,0,0,0,3,0,23371.68,0.385081431886796,0.171147303060798,0
36047120803,2022,20,17,0,3,0,0,0,14,0,24923.05,0.802470002668213,0.682099502267981,0
36047120803,2023,11,6,0,0,0,1,0,5,0,19261.35,0.571091849740543,0.311504645313023,0
36047121000,2018,26,8,0,2,0,1,0,5,0,46147.65,0.563408970987688,0.17335660645775,0
36047121000,2019,35,19,0,7,0,0,0,12,0,46983.69,0.744939360871826,0.404395653044706,0
36047121000,2020,14,11,0,0,0,1,0,10,0,46585.58,0.300522178751451,0.236124569018997,0
36047121000,2021,19,11,0,1,0,1,0,8,0,47673.48,0.398544431830863,0.230736250007342,0
36047121000,2022,19,12,0,3,0,0,0,7,0,47383.55,0.400983041582997,0.253252447315577,0
36047121000,2023,22,13,0,2,0,0,0,9,0,46913.49,0.468948270529436,0.27710579622194,0
36047121400,2018,70,21,0,3,0,0,0,18,0,52085.82,1.34393583512749,0.403180750538246,0
36047121400,2019,60,25,0,7,0,1,0,17,0,53377.82,1.12406239145773,0.468359329774052,0
36047121400,2020,41,19,0,2,0,0,0,17,0,48581.65,0.843940047322394,0.391094168271354,0
36047121400,2021,27,16,0,2,0,1,0,13,0,51293.02,0.526387410996662,0.311933280590615,0
36047121400,2022,27,10,0,2,0,0,0,8,0,50941.97,0.530014838452459,0.196301792019429,0
36047121400,2023,23,20,0,3,0,1,0,14,0,53893.96,0.426763963902449,0.371099099045607,0
36047122000,2018,180,71,0,15,0,5,0,51,0,66653.6,2.70052930374353,1.06520878092106,0
36047122000,2019,176,63,1,10,0,2,1,51,0,71746.67,2.45307552252948,0.878089533632711,0.0139379291052811
36047122000,2020,115,36,1,8,1,4,0,24,0,72972.79,1.57592987742417,0.493334570324089,0.013703738064558
36047122000,2021,143,67,0,12,0,1,0,48,0,79414.04,1.80068914766205,0.843679530722779,0
36047122000,2022,130,68,0,8,0,3,0,53,0,83928.04,1.54894597800687,0.810217896188211,0
36047122000,2023,139,63,0,9,0,4,0,43,0,89573.05,1.55180603987472,0.703336550446814,0
36047123700,2018,247,62,0,10,0,8,0,44,0,64520.29,3.82825309681652,0.960938024302123,0
36047123700,2019,236,42,0,8,0,5,0,29,0,70576.58,3.34388546455496,0.595098260641136,0
36047123700,2020,127,61,0,10,0,11,0,40,0,70698.09,1.79637101935851,0.862823875439917,0
36047123700,2021,110,49,0,8,0,12,0,28,0,80825.06,1.36096403763882,0.606247616766384,0
36047123700,2022,113,49,1,10,1,2,0,32,0,90210.43,1.25262677497491,0.543174442245758,0.011085192698893
36047123700,2023,115,60,0,12,0,9,0,36,0,91054.63,1.26297806053355,0.658945075060983,0
36047150200,2018,106,30,0,2,0,1,0,27,0,37734.1556655416,2.80912605914747,0.795035677117208,0
36047150200,2019,84,29,0,0,0,1,0,28,0,35434.8508354466,2.37054758294544,0.818403332207354,0
36047150200,2020,29,17,0,0,0,0,0,17,0,32052.71,0.90475969114624,0.530376370671934,0
36047150200,2021,48,22,0,4,0,0,0,18,0,34240.69,1.40184090916392,0.642510416700131,0
36047150200,2022,38,20,0,1,0,2,0,17,0,33045.59,1.1499265106176,0.605224479272423,0
36047150200,2023,42,28,0,1,0,1,0,25,0,34668.62,1.2114701998522,0.807646799901467,0
36047152200,2018,76,24,0,7,0,4,0,13,0,45652.43,1.66475256629275,0.525711336724025,0
36047152200,2019,87,28,1,6,1,2,0,20,0,45580.35,1.90871724328576,0.614299802436796,0.021939278658457
36047152200,2020,36,18,0,2,0,1,0,15,0,45109.08,0.798065489254048,0.399032744627024,0
36047152200,2021,35,24,0,2,0,4,0,13,0,45772.57,0.76465009502416,0.524331493730852,0
36047152200,2022,29,14,0,1,0,3,0,9,0,44750.42,0.648038610587342,0.312846225800786,0
36047152200,2023,35,24,0,3,0,4,0,14,0,40470.19,0.864834091463371,0.593029091289169,0
36059300800,2018,4,2,0,2,0,0,0,0,0,1107.7205295932,3.61101910918719,1.80550955459359,0
36059300800,2019,10,0,0,0,0,0,0,0,0,1065.47130689482,9.38551787860318,0,0
36059300800,2020,2,0,0,0,0,0,0,0,0,,,,
36059300800,2021,1,0,0,0,0,0,0,0,0,,,,
36059300800,2023,1,0,0,0,0,0,0,0,0,,,,
36059300901,2021,1,1,0,0,0,1,0,0,0,,,,
36059300901,2022,1,1,0,0,0,0,0,1,0,,,,
36059300901,2023,2,1,0,1,0,0,0,0,0,,,,
36059302600,2019,1,0,0,0,0,0,0,0,0,1480.7201764994,0.675347047923748,0,0
36059302600,2023,2,0,0,0,0,0,0,0,0,,,,
36059404300,2018,21,1,0,0,0,0,0,1,0,924.187369789959,22.7226649989522,1.08203166661677,0
36059404300,2019,16,4,0,0,0,0,0,4,0,887.869291268785,18.0206705619198,4.50516764047995,0
36059404300,2020,12,9,0,1,0,1,0,7,0,,,,
36059404300,2021,8,4,0,0,0,0,0,4,0,,,,
36059404300,2022,7,5,0,3,0,0,0,2,0,,,,
36059404300,2023,8,4,0,1,0,0,0,3,0,,,,
36059404500,2021,1,0,0,0,0,0,0,0,0,,,,
36059404800,2018,5,2,0,0,0,0,0,2,0,,,,
36059404800,2020,1,0,0,0,0,0,0,0,0,,,,
36059409800,2018,3,4,0,0,0,0,0,4,0,,,,
36059409900,2018,13,4,0,0,0,0,0,4,0,,,,
36059411000,2019,1,0,0,0,0,0,0,0,0,,,,
36059411600,2019,1,0,0,0,0,0,0,0,0,1255.54398766109,0.796467515138888,0,0
36061000201,2018,37,6,0,3,0,0,0,3,0,34141.63,1.08372095884116,0.175738533866134,0
36061000201,2019,45,17,1,3,0,2,0,12,1,33421.5,1.34643866971859,0.508654608560358,0.0299208593270799
36061000201,2020,24,6,0,1,0,0,0,5,0,30658.12,0.78282686609616,0.19570671652404,0
36061000201,2021,20,12,0,1,0,3,0,8,0,30225.13,0.661701041484354,0.397020624890613,0
36061000201,2022,22,13,0,2,0,1,0,9,0,29755.96,0.739347680263047,0.436887265609982,0
36061000201,2023,20,5,0,2,0,0,0,2,0,27738.03,0.721031738735592,0.180257934683898,0
36061000202,2018,83,30,0,2,0,4,0,24,0,95668.16,0.867582276067607,0.313583955205159,0
