geoid,year,total_population,pct_male_population,pct_female_population,pct_white_population,pct_black_population,pct_asian_population,pct_hispanic_population,pct_foreign_born,pct_age_under_18,pct_age_18_34,pct_age_35_64,pct_age_65_plus,median_income,pct_income_under_25k,pct_income_25k_75k,pct_income_75k_plus,pct_below_poverty,pct_above_poverty,poverty_rate,median_gross_rent,pct_owner_occupied,pct_renter_occupied,pct_no_vehicle,pct_one_vehicle,pct_two_plus_vehicles,pct_less_than_hs,pct_hs_diploma,pct_some_college,pct_associates_degree,pct_bachelors_degree,pct_graduate_degree,pct_in_labor_force,pct_employed,pct_unemployed,pct_not_in_labor_force,unemployment_rate,pct_commute_short,pct_commute_medium,pct_commute_long,pct_drive_alone,pct_carpool,pct_public_transit,pct_walk,pct_bike,pct_work_from_home,total_crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,crash_rate_per_1000,injury_rate_per_1000,fatality_rate_per_1000,pedestrian_rate_per_1000,cyclist_rate_per_1000,motorist_rate_per_1000,injury_fatality_ratio
36005001600,2023,71099.69,10.21945384,13.00286963,0.365683732,3.31506368,0.396626202,4.639963972,2.545721367,2.106900888,1.981724534,2.918437478,1.50352273,42957,1.002817312,1.254576497,0.765122886,1.468360833,6.631533837,18.12814725,1097,0.701240751,2.328744331,1.58228538,0.879047433,0.561183881,1.596350139,1.360062189,0.700424995,0.6301012,0.691986139,0.299579365,3.724348165,3.292560066,0.431788099,3.265837024,11.59365559,0.534460839,1.580878904,2.614638685,3.046426785,0.04782018,2.151908117,0.436007527,0.018284187,0.268636896,26,13,0,3,0,2,0,5,0,0.365683732,0.182841866,0,0.042194277,0.028129518,0.070323795,
36005001901,2018,4103.772231,12.3205085,11.81328172,1.755785011,3.124396918,0.279124797,4.240896105,1.818813191,3.133400944,2.782243941,2.995339216,0.228101984,5182.303507,0.855382441,1.245556888,0.687307295,2.530131222,5.285363086,32.37327189,156.423659,0.303225572,2.501198286,1.794802456,0.921411963,0.072032206,1.275570307,1.017454904,1.179527367,0.423189208,0.786351578,0.324144925,4.37595649,3.778689452,0.576257645,1.824815875,13.16872428,0.888397202,0.972434776,3.931757889,1.392622642,0.246110036,5.342388582,0.312139558,0.033014761,0,257,95,0,11,0,0,0,84,0,62.62530801,23.14943292,0,2.680460654,0,20.46897227,
36005001901,2019,4641.407737,12.4298499,11.58863247,1.817772669,2.980085703,0.230870397,4.548412195,2.06191148,3.402021257,2.76248372,2.948241511,0.212294618,5561.78484,0.78814377,1.236616151,0.838563742,2.282167146,5.633768431,28.83003688,165.5381085,0.311568889,2.56709306,1.833694765,0.931442637,0.098186261,1.034936264,0.981862609,1.069434139,0.435203967,0.849178473,0.424589236,4.155667152,3.688618992,0.443165016,2.030067287,10.66411239,0.981862609,1.013706802,3.736385281,1.491369693,0.2919051,4.819087834,0.46704816,0.023883145,0.037151558,255,56,0,7,0,0,0,49,0,54.94022814,12.065305,0,1.508163125,0,10.55714188,
36005001901,2020,24453.42,11.81429837,12.1578086,2.551790302,3.181559062,0,4.208000353,2.396392815,2.547700894,2.486359781,3.381940031,0.065430521,61711,0.858775582,0.993726031,1.353593894,1.987452062,5.811048107,25.48505506,1284,0.03271526,3.183317507,1.942468579,0.854686175,0.408940753,0.871043805,0.854686175,0.813792099,0.781076839,1.173659962,0.678841651,4.441096583,4.203910946,0.192202154,1.652120644,4.327808471,0.899669658,1.447650267,3.954457086,1.693014719,0.327152603,4.334771987,0.384404308,0.061341113,0.527533572,136,66,0,3,0,5,0,58,0,5.561594247,2.699008973,0,0.122682226,0.204470377,2.37185637,
36005001901,2021,27651.43,10.76617014,13.38447957,2.401322463,3.13907816,0,4.176999164,2.271130282,2.509815948,2.477267903,3.403078973,0.119342833,55924,0.900495924,1.041537454,1.258524424,2.155403898,5.670592805,27.54158965,1425,0,3.209345773,2.224116438,0.810084686,0.166356677,0.629262212,1.370634358,0.92942752,0.622029313,1.023455206,0.716057,4.35058874,4.242095255,0.108493485,1.775676701,2.493765586,0.658193808,1.620169373,3.768340372,1.547840383,0.35441205,4.224013008,0.405042343,0.075945439,0.611179964,98,41,1,2,0,1,0,37,1,3.544120503,1.482744292,0.036164495,0.07232899,0.036164495,1.338086312,41
36005001901,2022,27771.3,11.67392236,12.39048946,1.677991308,4.05094468,0,3.031907041,1.984062683,2.398159251,2.643016351,3.42439857,0.068415955,49500,0.824592295,1.299903137,1.260293901,2.243323143,5.599305758,28.60422406,1642,0,3.393071264,2.516986961,0.705764584,0.162037787,0.88580657,1.317907336,0.806588096,0.5077184,1.01903764,0.590537713,4.461440408,4.18417575,0.277264658,1.825625736,6.214689266,0.669756187,1.296302298,3.996932085,1.029840159,0.172840306,4.421831171,0.489714201,0.072016794,0.727369623,84,55,0,4,0,0,0,51,0,3.024705361,1.980461844,0,0.144033589,0,1.836428255,
36005001901,2023,31299.18,12.23035236,11.96516969,1.639020575,3.686997551,0.038339663,3.466544491,1.894618325,2.440958517,2.345109361,3.4313998,0.111824016,67361,0.805132914,1.076705524,1.607070856,2.332329473,5.322823154,30.46744574,1920,0,3.495874333,2.485688123,0.805132914,0.198088257,1.035170889,1.124630102,0.824302745,0.744428448,0.964881508,0.738038505,4.677438834,4.431425999,0.246012835,1.466492093,5.259562842,0.517585445,1.348278134,4.006494739,1.099070327,0.396176513,4.102343895,0.587874826,0.06709441,0.987246311,54,34,0,3,0,1,0,30,0,1.725284816,1.08629044,0,0.095849156,0.031949719,0.958491564,
36005001902,2018,9832.314011,12.23519895,11.84897149,1.7085861,3.116723991,0.266305362,4.319281196,1.826653791,3.157515456,2.744323094,2.988777171,0.251065355,12124.85062,0.903204827,1.23981839,0.663172153,2.639886476,5.211331947,33.62390821,363.5195218,0.289299255,2.532701922,1.82727728,0.90936846,0.06954963,1.294049017,1.017788952,1.158519163,0.418477666,0.767025151,0.317376888,4.320573252,3.73986578,0.560662982,1.862792814,12.97658782,0.894658516,0.972359476,3.873243995,1.365818276,0.241412205,5.259683536,0.351196905,0.031498484,0,762,212,0,10,0,1,0,201,0,77.49955902,21.5615571,0,1.01705458,0.101705458,20.44279706,
36005001902,2019,11021.73393,12.35507941,11.61307258,1.786034268,2.974502455,0.2222399,4.619605993,2.041915873,3.416633877,2.726365383,2.940411379,0.239959094,12968.39241,0.842772028,1.231267698,0.810285201,2.376821177,5.563357019,29.93410373,384.3946771,0.299921685,2.599475047,1.8663015,0.922280003,0.095743425,1.063520619,0.982354647,1.054990286,0.434648336,0.832901946,0.414364043,4.11792282,3.654339353,0.440593133,2.051527561,10.6994024,0.978058027,1.003555862,3.6913585,1.455505874,0.287867569,4.774220744,0.478805778,0.022990334,0.035762742,737,238,0,13,0,4,0,221,0,66.86788163,21.59369855,0,1.179487736,0.362919303,20.05129151,
36005001902,2020,15421.77,13.56523927,11.51618783,1.549757259,2.853109598,0.38257606,4.149977597,2.100926158,3.345919437,2.703969778,2.904984318,0.52523154,53882,0.46687248,0.985619679,0.680855699,1.731318779,5.933171095,22.58883249,1536,0.41519229,1.760433465,1.329289699,0.641949659,0.1621085,1.945301998,1.387648759,0.654918339,0.21398322,0.791089479,0.15562416,4.221305337,3.890603997,0.33070134,2.081473138,7.834101382,0.778120799,0.661402679,3.974900417,0.920776279,0.41499776,5.926686755,0.28531096,0,0.05835906,372,174,2,6,0,8,1,160,1,24.12174478,11.28275159,0.1296868,0.3890604,0.5187472,10.37494399,87
36005001902,2021,16364.72,13.72464668,10.91372171,1.778215576,2.664268011,0.336088855,3.97195919,1.875986879,3.030910397,2.57871812,3.140903114,0.403306625,60804,0.427749451,1.154923518,0.714952654,1.692665686,6.067931501,21.81102362,1689,0.491361905,1.838100499,1.47879096,0.678288416,0.140546248,2.163190082,1.154923518,0.666067003,0.323867442,0.763838306,0.256649671,4.204166035,3.770305878,0.433860158,2.108193724,10.31976744,0.782170425,0.757727599,4.308048045,0.794391838,0.488856516,5.74406406,0.232206845,0,0.079439184,294,143,1,14,1,3,0,125,0,17.96547695,8.738310219,0.061107064,0.855498903,0.183321193,7.638383058,143
36005001902,2022,22071.97,12.81263068,11.68903365,1.150780832,1.930049742,0.122327096,3.96883468,1.554007186,2.124866969,2.636828521,3.950712148,0.376042555,67375,0.407756988,0.820044609,0.89253474,2.654951053,5.563617566,32.30429989,1984,0.334904406,1.812162666,1.155311465,0.434940787,0.530084084,2.360459896,1.046576268,0.76567701,0.951432971,0.462124586,0.199347861,4.621245861,3.719649855,0.901596006,2.419358127,19.50980392,0.32620559,0.516492184,5.237411975,1.250454762,0.22653166,3.860099484,1.667273016,0,0.072490131,271,143,3,8,0,1,0,132,3,12.27801596,6.478805471,0.135918996,0.362450656,0.045306332,5.98043582,47.66666667
